HB030,HB030_new
200527,20052700
200530,20053000
200536,20053600
200537,20053700
200538,20053800
200539,20053900
200540,20054000
200542,20054200
200543,20054300
200544,20054400
200546,20054600
200548,20054800
200549,20054900
200550,20055000
200553,20055300
200554,20055400
200556,20055600
200557,20055700
200560,20056000
200561,20056100
200562,20056200
200563,20056300
200564,20056400
200565,20056500
200566,20056600
200568,20056800
200571,20057100
200574,20057400
200575,20057500
200576,20057600
200577,20057700
200579,20057900
200580,20058000
200582,20058200
200583,20058300
200584,20058400
200585,20058500
200586,20058600
200588,20058800
200589,20058900
200590,20059000
200592,20059200
200593,20059300
200594,20059400
200595,20059500
200596,20059600
200601,20060100
200603,20060300
200604,20060400
200605,20060500
200606,20060600
200608,20060800
200609,20060900
200610,20061000
200611,20061100
200613,20061300
200614,20061400
200616,20061600
200617,20061700
200618,20061800
200619,20061900
200620,20062000
200621,20062100
200622,20062200
200623,20062300
200624,20062400
200625,20062500
200632,20063200
200633,20063300
200636,20063600
200637,20063700
200638,20063800
200639,20063900
200641,20064100
200644,20064400
200649,20064900
200652,20065200
200653,20065300
200655,20065500
200657,20065700
200658,20065800
200659,20065900
200661,20066100
200662,20066200
200663,20066300
200664,20066400
200665,20066500
200666,20066600
200668,20066800
200670,20067000
200672,20067200
200675,20067500
200678,20067800
200679,20067900
200680,20068000
200681,20068100
200682,20068200
200683,20068300
200684,20068400
200685,20068500
200687,20068700
200688,20068800
200689,20068900
200690,20069000
200691,20069100
200692,20069200
200694,20069400
200695,20069500
200697,20069700
200698,20069800
200700,20070000
200701,20070100
200702,20070200
200705,20070500
200707,20070700
200708,20070800
200709,20070900
200710,20071000
200711,20071100
200712,20071200
200713,20071300
200714,20071400
200717,20071700
200720,20072000
200723,20072300
200725,20072500
200726,20072600
200727,20072700
200728,20072800
200731,20073100
200732,20073200
200733,20073300
200735,20073500
200738,20073800
200740,20074000
200741,20074100
200747,20074700
200748,20074800
200749,20074900
200750,20075000
200752,20075200
200755,20075500
200756,20075600
200757,20075700
200761,20076100
200762,20076200
200763,20076300
200764,20076400
200765,20076500
200766,20076600
200767,20076700
200769,20076900
200772,20077200
200773,20077300
200774,20077400
200775,20077500
200778,20077800
200779,20077900
200782,20078200
200783,20078300
200784,20078400
200785,20078500
200787,20078700
200788,20078800
200789,20078900
200790,20079000
200791,20079100
200792,20079200
200794,20079400
200797,20079700
200798,20079800
200800,20080000
200801,20080100
200802,20080200
200806,20080600
